"Ability Combos
Some abilities are far more powerful when used in combination, this is an attempt to codefy them and rate them","Reference
(e.g. where did I get the name?)",Abilities,Explanation
"Unseen Strike
(Banu Signature combo)",A Celerity/Obfuscate power in V5,Split Second + Bladed Hand,"Bladed hand can be used while Split second is active, allowing for precision elination against groups of minis, but its real strength shines against heavies where you can Bladed them down to half health, and then feed during split second to immediately eliminate them."
"Mass Berserk
(Ventrue signature Combo)",Dementation 4 dot ability in VTMB1,Mass Manipulation + Possession,"Sends all enemies into an attacking frenzy, which takes a lot of the pressure off yourself as they'll be more focussed on each other - works on every enemy in the game, but obviously fails against single targets."
Blood Bank,,Blood Salvo + Mass manipulation/Enter Oblivion,"You can't use these abilities in Combo, but you CAN swap off blood salvo to mass manipulation for free - even if you have the daggers out - provided you have at least a number of blood pips + Daggers = 4 (or 5 for other masteries)
This gives a fair bit of flexibility and safety, in case you turn the corner and there's 30 enemies you can always swap off Blood Salvo to Mass Manipulation for a combo with either Cauldron of Blood (Purge) or Terminal Decree (Mass Suicide)"
Mass Brawl,,Mass Manipulation + Taunt,"This disarms all enemies and makes them take more damage, but also makes them all target you - this does give you an advantage as a melee brawler (and they take more damage), and you can feed on them easier as they're doing less damage."
Crash Down,Potence ability in V5,Blink + Earthshock,Blink above an encounter then drop down and Earthshock to increase the radius of the blast - this will kill most small enemies immediately.
Mass Fear,,Mass Manipulation + Glimpse of Oblivion,"This fears all enemies it hits, sending them into a scrambling panic away from you - can be useful in combat situations where you need space, as you can chase down and focus down individuals."
Fulminating Vitae,A Blood Sorcery power in V5 (tenuous),Blood Curse + Cauldron of Blood,"Instantly detonates an enemy that's previously been Blood Cursed, instead of the lengthy ""wind up"" - can sometimes be triggered the other way (aka blood boil below)"
"Blood Boil
(Tremere Signature combo)",Thaumaturgy 5 dot ability in VTMB1,Cauldron of blood + Blood Curse (if done quickly enough),"Functioning similar to the capstone of Thaum from BL1 - This groups enemies up around the cauldroned enemy, and then causes them to explode thanks to blood curse.
ONLY worth using from stealth, unless you're targetting a single heavy enemy, where it's a waste of blood."
Suicide Bomber,,Blood curse + possession,"Curse a target, then possess them to attack their allies - when they're hit they'll explode - not a huge amount of utility but fun."
Inevitable destruction,Anime trope of someone dying if a really strong move either landed earlier or is completed,Blurred Momentum + Blood Curse,"Blood curses biggest weakness is that it takes time and you can be knocked out of it - well now you're invulnerable so can't be knocked out - safest way to kill bosses as the Tremere, try to get off a blood boil to regen your pips as well."
Vision of Death,Dementation 3 dot ability (tenuous),"Against a Heavy Target: 
Terminal Decree + Modify Memory","This is how ventrue kills heavies - Terminal decree to disarm and allow you to get off a feed - attack them until they're half health, then modify memory to feed again performing an assassination.
Can be started with Mass Suicide to kill minis as well."
A Thousand Cuts,A Celerity power in V5,Blink + Lightning Strike,"Lightning strike has a deceptively short range, but this matters less when you can close the distance with blink -  So blink-kick and then lightning strike, will eliminate most enemies and is a great opener to bosses."
Mass Majesty,Presence power in V5,Mass Manipulation + Beckon,"This one puts all enemies in the trance where they walk towards you - the problem is the beckon pops when they get close to you, meaning this has very little utility.
The one use case is when farming sanguine resonance, as it can ""setup"" a group for feeding."
Brain Wipe,Dominate 2 dot ability in VTMB1,Mass Manipulation + Mind Wipe,"This basically makes a group forget you exist, which sadly has low utility in the game, can allow returning to stealth, but it's very niche."
Shroud Of Silence,Blood Sorcery ritual in V5,Mass Manipulation + Mute,"Silences a bunch of enemies - Given how encounters rarely involve more than one group across a given area, this has very VERY low utility."
